Start Time,End Time,Lang ID,Text
5280,5934,[JPN],#{姉御、クィーン}# 俺が代わろう
6255,6450,[JPN],どうしたの？
6534,7091,[JPN],ファットマンが暴走している
7147,7648,[JPN],本当にここを沈めるつもり？
7690,8720,[JPN],そうらしい このままでは計画が水の泡だ
5572,6101,[ENG],"I'll take over, Queen."
6130,6352,[ENG],What is it?
6492,7286,[ENG],It seems our friend Fatman|is out of control.
7300,7885,[ENG],He'll actually try to destroy this place?
7899,8971,[ENG],Yes. This could unravel|everything we've planned.
9000,9445,[ENG],But why would he do such a thing?
9445,9807,[ENG],Who knows? 
9822,11006,[ENG],But he's nothing more than|a stereotypical mad bomber now.
11048,11925,[ENG],He's completely lost|sight of our ideals.
11981,12245,[ENG],And with it...
12288,13123,[ENG],his loyalty to Commander Jackson.
13151,14000,[ENG],All right. I'll take care|of the wayward soul.
14447,14767,[ENG],It wasn't him...
14935,15241,[ENG],Unfortunate.
15255,16090,[ENG],"I expected more of this one, really."
16175,16704,[ENG],"But he couldn't kill you, I see."
16969,17498,[ENG],Completely useless.
18041,18584,[ENG],Then he's all mine.
18891,19295,[ENG],"Later, Vamp?"
19866,20102,[ENG],Now!
21274,21427,[ENG],Ugr.
26247,26372,[ENG],!
31709,31931,[ENG],Damn...!
33422,33589,[ENG],Vamp?
34147,34425,[ENG],Are you gone?
35345,35512,[ENG],No.
35805,36682,[ENG],"No, that death was meant for me."
37086,38089,[ENG],Why am I the only one that can't die!
38953,39301,[ENG],Alone again...
39525,40096,[ENG],Cheated out of death again...
40820,41558,[ENG],How long will you force me to live!
42116,42631,[ENG],"How much longer, Dad?"
43969,44470,[ENG],You've punished me enough...
48831,49457,[ENG],I thought you could give me peace.
50782,51436,[ENG],But you couldn't kill me either.
63139,63891,[ENG],"There's no need for sorrow, Queen."
64240,64365,[ENG],!?
64811,65424,[ENG],I died once already.
65577,65785,[ENG],Vamp?
66984,67680,[ENG],I can't die twice.
5572,6101,[GER],"Ich übernehme, meine Königin."
6130,6352,[GER],Was gibt's?
6492,7286,[GER],"Es scheint, Fatman läuft Amok."
7300,7885,[GER],Er will diese Anlage also|wirklich zerstören?
7899,8971,[GER],Ja. Das könnte unsere ganzen|Pläne zunichte machen.
9000,9445,[GER],Aber warum sollte er das tun?
9459,10197,[GER],Wer weiß?|Aber jetzt ist er nur noch
10212,11020,[GER],ein ganz gewöhnlicher|wahnsinniger Bombenleger.
11048,11925,[GER],Er hat unsere Ideale völlig aus den |Augen verloren.
11967,13123,[GER],Und damit auch seine Treue|zu Commander Jackson
13151,14000,[GER],Gut. Ich übernehme den Abtrünnigen.
14447,14767,[GER],Er war's nicht.
14935,15241,[GER],Pech.
15255,16090,[GER],Ich hätte eigentlich mehr von|ihm erwartet.
16175,16704,[GER],"Aber wie ich sehe, konnte|er Dich nicht töten."
16969,17498,[GER],Völlig unfähig.
18041,18584,[GER],Dann gehört er mir.
18891,19295,[GER],"Später, Vamp?"
19866,20102,[GER],Jetzt!
26247,26372,[GER],!
31709,31931,[GER],Verdammt!
33422,33589,[GER],Vamp?
34147,34425,[GER],Lebst Du noch?
35345,35512,[GER],"Oh, nein."
35805,36682,[GER],Dieser Tod war mir bestimmt.
37086,38089,[GER],"Warum bin ich die einzige,|die nicht sterben kann!?"
38953,39301,[GER],Wieder allein.
39525,40096,[GER],Wieder um den Tod betrogen.
40820,41558,[GER],Wie lange muß ich denn noch leben!?
42116,42631,[GER],"Wie lange noch, Papa?"
43969,44470,[GER],Du hast mich doch schon genug|gestraft.
48831,49457,[GER],"Ich dachte, Du könntest|mir Frieden geben."
