Start Time,End Time,Lang ID,Text
181,1267,[FRE],Qu'allez-vous faire de RAY ?|Le vendre dans la rue ?
1365,1866,[FRE],"J'ai été élevé à Snezhinsk,"
1866,2952,[FRE],"lieu autrefois connu sous le nom de|Chelyabinsk-70, antenne"
2953,3357,[FRE],de recherche nucléaire.
3441,3831,[FRE],De quoi parlez-vous ?
3914,5098,[FRE],"A la fin de la Guerre froide, ma maison |a été rachetée par les Américains."
5781,6366,[FRE],C'est triste... mais quel est le rapport ?
6366,6839,[FRE],"Vous ne comprenez rien, evidemment."
6840,7689,[FRE],"Avoir son pays, ses amis et sa dignité |vendus au plus offrant --"
7690,8177,[FRE],les Etats-Unis d'Amérique !|
8247,9208,[FRE],La technologie qui a produit ces armes |est russe !
9209,9696,[FRE],C'est nous qui l'avons développée !|
9724,10239,[FRE],Qu'avez-vous l'intention de faire ?
10922,11465,[FRE],La Russie va renaître.
11814,12315,[FRE],Et RAY en est la clé !
12566,13819,[FRE],Je suis au regret de te dire que|je n'ai aucunement l'intention de vendre
13820,14126,[FRE],le Metal Gear.
14140,15143,[FRE],"Comme je le disais, je suis juste venu |le reprendre !"
18390,18626,[FRE],Oui.
18682,19099,[FRE],Le Metal Gear sera rendu
19100,19517,[FRE],aux 'Patriotes'...
19755,20186,[FRE],Le 'La-li-lu-le-lo' !  
20410,20744,[FRE],Ce n'est pas possible !?
20758,21287,[FRE],"Ocelot, tu... !"
21343,21788,[FRE],Tu nous as vendus ?
22249,23112,[FRE],"Je n'ai jamais roulé pour toi, |Gurlukovich..."
23224,23892,[FRE],Tu travailles toujours avec Solidus... !?
24269,24826,[FRE],"Désolé, Colonel."
25216,25982,[FRE],La Mère Russie peut aller au diable !
26178,26958,[FRE],"Depuis quand, Ocelot ? |Quand as-tu retourné ta veste ?"
26986,27626,[FRE],"Je vois que tu es retombé sur terre, |camarade."
27863,28754,[FRE],"La ""Mère Russie"", je l'ai |abandonnée pendant la Guerre froide !"
29271,29633,[FRE],Aargh... !
30524,31262,[FRE],Le Metal Gear est juste assez grand |pour une personne !
32266,33450,[FRE],"Gurlukovich, ta fille et toi |mourrez ici !"
33715,34132,[FRE],Salopard !
38884,39413,[FRE],"Meurs, espèce de chien !"
222,1197,[ENG],What do you intend to do with RAY -- |sell it on the streets?
1365,1866,[ENG],"I was raised in Snezhinsk,"
1866,3161,[ENG],"formerly known as Chelyabinsk-70, |the nuclear research outpost."
3441,3831,[ENG],What are you talking about?
3914,5098,[ENG],"After the Cold War ended, my home |was bought out by the Americans."
5781,6366,[ENG],Is there a point to this sad story?
6366,6811,[ENG],Not that you would understand.
6840,7689,[ENG],"Land, friends, dignity... All sold|to the highest bidder --"
7690,8177,[ENG],the United States of America.
8247,9208,[ENG],"Even the technology that gave birth to |these weapons is Russian,"
9209,9640,[ENG],developed by us!
9724,10239,[ENG],What do you intend to do?
10922,11465,[ENG],Russia will rise again --
11814,12315,[ENG],and RAY is the key.
12594,14084,[ENG],I regret to inform you that I have|no intention of selling Metal Gear.
14140,15143,[ENG],"As I said, I came to take it back."
18390,18626,[ENG],Yes --
18724,19016,[ENG],returned.
19072,19462,[ENG],"To the ""Patriots""..."
19755,20186,[ENG],"The ""La-li-lu-le-lo""!"
20410,20744,[ENG],How's that -- possible!?
20758,21287,[ENG],"Ocelot, you...!"
21343,21788,[ENG],Have you sold us out?
22249,23112,[ENG],"I was never in your employ, |Gurlukovich..."
23224,23892,[ENG],Are you still in league with Solidus...!?
24269,24826,[ENG],"No hard feelings, Colonel."
25216,25982,[ENG],"Mother Russia can rot, for all I care."
26178,26958,[ENG],"Since when, Ocelot! |When did you turn?"
26986,27626,[ENG],I'm glad you noticed comrade.
27863,28754,[ENG],"I abandoned ""her"" during the Cold War."
29271,29633,[ENG],Aargh...!
30524,31262,[ENG],Metal Gear only has room for one!
32266,33450,[ENG],"Gurlukovich, you and your|daughter will die here."
33715,34132,[ENG],Damn you!!
38884,39413,[ENG],"Die, you dog!"
45069,45375,[ENG],Sergei!
45571,46560,[ENG],Looks like you were long|overdue for retirement.
46950,47618,[ENG],Traitorous dog...
222,1197,[GER],Was hast Du mit RAY vor --|ihn auf der Straße zu verkaufen?
1365,1866,[GER],Ich bin in Snezhinsk|aufgewachsen.
1866,3161,[GER],"Früher bekannt als Chelyabinsk-70,|der atomare Forschungsvorposten."
3441,3831,[GER],Wovon redest Du eigentlich?
3914,4401,[GER],"Als der Kalte Krieg zu Ende war,"
4402,5168,[GER],wurde mein Zuhause von den|Amerikanern aufgekauft.
5781,6366,[GER],Hat diese traurige Geschichte|einen tieferen Sinn?
6366,6811,[GER],"Keinen, den Du verstehen würdest."
6840,8177,[GER],"Land, Freunde, Würde -- Alles an den|Meistbietenden verkauft, den USA."
8247,9208,[GER],"Sogar die Technologie, die diese Waffen|möglich machte, ist russisch,"
9209,9640,[GER],von uns entwickelt!
9724,10239,[GER],Was gedenkst Du nun zu tun?
10922,11465,[GER],Rußland wird sich wieder erheben --
11814,12315,[GER],und RAY ist der Schlüssel.
12594,13207,[GER],"Ich bedaure, Dich informieren|zu müssen, "
13221,14084,[GER],"daß ich nicht vorhabe,|Metal Gear zu verkaufen."
14140,15143,[GER],"Wie gesagt, ich kam,|um es zurückzuholen."
18390,18626,[GER],Ja --
18724,19016,[GER],er kehrt zurück.
19072,19462,[GER],"Zu den ""Patriots""."
19755,20186,[GER],"Die ""La-li-lu-le-lo""!"
20410,20744,[GER],Wie ist das möglich?
20758,21287,[GER],"Ocelot, Du - !"
21343,21788,[GER],Hast Du uns verraten?
22249,23112,[GER],"Ich stand nie in Deinen Diensten,|Gurlukovich."
