Start Time,End Time,Lang ID,Text
404,1476,[FRE],"Tout ce que je veux, c'est laisser|une trace... Dans l'esprit des gens,"
1476,1782,[FRE],dans l'Histoire...
2075,3342,[FRE],"En contrôlant les flux d'informations |numériques,"
3357,4165,[FRE],les Patriotes essaient de protéger|leur pouvoir et leurs intérêts...
4291,5252,[FRE],Mais je veux qu'il reste quelque chose|de ma mémoire et de mon existence !
5294,5893,[FRE],Contrairement à un intron de l'Histoire.
5976,6672,[FRE],On retiendra mon rôle d'exon.
6882,7829,[FRE],"Ce sera mon legs, |ma place dans l'Histoire."
8275,9027,[FRE],Mais les Patriotes ne laisseront pas |passer ça...
9585,10225,[FRE],Je vaincrai les Patriotes
10532,10936,[FRE],et libérerai l'humanité entière !
11075,11534,[FRE],Et nous deviendrons
11772,12398,[FRE],les 'Fils de la Liberté' !
459,1796,[ENG],"All I want is to be remembered. |By other people, by history."
2075,3342,[ENG],"The Patriots are trying to protect|their power, their own interests,"
3357,4165,[ENG],by controlling the digital flow of|information.
4291,5252,[ENG],"I want my memory, my existence |to remain."
5294,5893,[ENG],Unlike an intron of history.
5976,6672,[ENG],I will be remembered as an exon.
6882,7829,[ENG],"That will be my legacy,|my mark in history."
8275,9027,[ENG],But the Patriots would deny us |even that.
9585,10225,[ENG],I will triumph over the Patriots
10532,10936,[ENG],and liberate us all.
11075,11534,[ENG],And we will become#－
11772,12398,[ENG],"the ""Sons of Liberty""!"
459,1072,[GER],"Ich will nur, daß man sich an|mich erinnert."
1086,1824,[GER],"Andere Menschen,|die Geschichtsschreibung."
2075,3342,[GER],"Die Patriots versuchen, ihre Macht und|ihre eigenen Interessen zu schützen,"
3357,4165,[GER],indem sie den digitalen Informationsfluß|kontrollieren.
4291,5252,[GER],"Ich will, daß mein Gedächtnis,|meine Existenz am Leben bleiben."
5280,5962,[GER],"Nicht als ein Intron, ein em|unbedeutenden Nichts in der Geschichte,"
5976,6672,[GER],sondern als Exon - als|Entscheidungsträger.
6882,7829,[GER],"Das wird mein Erbe sein, mein Stempel,|den ich der Geschichte aufdrücke."
8275,9027,[GER],Aber die Patriots wollen uns selbst|das vorenthalten.
9585,10225,[GER],Ich werde über die Patriots triumphieren
10532,10936,[GER],und uns alle befreien.
11075,11534,[GER],Und wir werden die #_
11772,12398,[GER],"""Söhne der Freiheit"" sein!"
459,1796,[ITA],"Voglio solo essere ricordato.|Dalla gente, dalla storia."
2075,3342,[ITA],"I Patriots stanno cercando di proteggere|il loro potere, i loro interessi,"
3357,4165,[ITA],controllando il flusso digitale|delle informazioni.
4291,5252,[ITA],"Ma io voglio che il mio ricordo,|la mia esistenza, rimangano."
5294,5893,[ITA],Non come un introne di storia.
5976,6672,[ITA],Sarò ricordato come un esone.
6882,7829,[ITA],"Quello sarà il mio lascito,|l'impronta che lascerò nella storia.."
8275,9027,[ITA],Ma i Patriots vogliono negarci anche|questo.
9585,10225,[ITA],Trionferò sui Patriots
10532,10936,[ITA],e libererò noi tutti.
11075,11534,[ITA],E noi diventeremo#－
11772,12398,[ITA],"i ""Sons of Liberty""!"
459,1796,[SPA],"Todo lo que quiero es ser recordado.|En la memoria de la gente, en la historia."
2075,3342,[SPA],"Los Patriots intentan proteger su poder,|sus intereses,"
3357,4165,[SPA],controlando el flujo digital|de información.
4291,5252,[SPA],"Yo quiero que mis recuerdos,|que mi existencia no muera nunca."
5294,5893,[SPA],No como un intron de la historia.
5976,6672,[SPA],Seré recordado como un exon.
6882,7829,[SPA],"Ése será mi legado,|mi marca en la historia."
8275,9027,[SPA],Pero Los Patriots nos niegan incluso eso.
9585,10267,[SPA],"Triunfaré, venceré a Los Patriots,"
10532,10936,[SPA],y liberaré a todos.
11075,11534,[SPA],¡Nos convertiremos
11772,12398,[SPA],"en ""Sons of Liberty""!"
487,1824,[JPN],私は人の記憶に この国の|歴史に記憶されたいだけだ
2061,3677,[JPN],『愛国者達』はデジ夕ル情報を統制する|ことで 己の支配と権益を守ろうとしている
3956,5195,[JPN],私は私の記憶 私の存在を残したい
5433,6032,[JPN],歴史のイントロンにはなりたくない
6088,6826,[JPN],いつまでも記憶の中のエクソンでありたい
6868,7815,[JPN],それが私の『子を成す』ということだ
8066,9069,[JPN],『愛国者達』はそれさえも|我々から奪おうとしている
9585,11061,[JPN],私は『愛国者達』を倒して 自由になる
11270,11520,[JPN],まさしく#－
11716,12551,[JPN],『#{自由の息子達、サンズ・オブ・リバティ}#』になるのだ！
