Start Time,End Time,Lang ID,Text
13,946,[FRE],Je vais déployer des hommes|supplémentaires sur le Pont D.
947,1643,[FRE],Renforcez la sécurité|à bâbord !
13,1684,[SPA],Entendido. Desplegando más hombres|a la Cubierta D. Proteged el babor.
27,277,[ENG],Understood.
320,946,[ENG],Deploying additional |men to Deck-D.
975,1657,[ENG],Increase security |on the port side.
27,765,[JPN],了解 船橋四階|居住区を増員する
808,1184,[JPN],左舷警備を固めろ
27,821,[GER],Schicke weitere Leute|nach Deck-D.
835,1684,[GER],Steigert die Sicherheitsmaßnahmen|an der Backbordseite!
41,932,[ITA],Mando altri uomini al Ponte-D.
947,1643,[ITA],Intensificate la sorveglianza|sul lato sinistro.
