Start Time,End Time,Lang ID,Text
1058,1573,[ENG],...Shalashaska has landed. 
1602,2479,[ENG],I'm on my way to the tanker holds... |Report your status.
2591,3649,[ENG],"Control room, communications and |engine room are under control."
3664,4541,[ENG],All entry and exit points to|the tanker holds secured.
4555,5181,[ENG],Infrared sensors placed|and operational.
5461,6241,[ENG],Good work.|Are the explosives in place?
6910,7341,[ENG],"Yes, they're all planted."
7439,8442,[ENG],"Listen. Once we have what we came|for, the tanker will be scuttled."
8470,8887,[ENG],And the vehicle's pilot.
8916,10211,[ENG],He's the only one who underwent the |VR training. No one else can do it.
10240,10755,[ENG],Are you sure you can trust him?
11075,11980,[ENG],Your part in the mission is complete. |You are to leave at once.
12023,12552,[ENG],"No, it's not over yet!"
12580,13304,[ENG],I can see the moon...|even in this storm.
13318,14279,[ENG],Pale as death. I have a bad feeling |about this mission...
14419,14781,[ENG],You swore this to me.
14781,15658,[ENG],"That you would leave the unit, once |the mission was complete."
15784,16369,[ENG],"Do not worry. This is|a country of ""liberty."""
16370,17164,[ENG],"No! This is where I belong, |with the unit. "
17178,17818,[ENG],I have nowhere else to go.
18320,18933,[ENG],"Father, I want to stay and fight."
18947,19504,[ENG],"There is no choice to make here, Olga!"
19658,20507,[ENG],Need I remind you that you are|carrying my grandchild?
20828,20995,[ENG],...
21051,21886,[ENG],"You will be on the helicopter|out of here, now!"
22792,23014,[ENG],Damn it!
27000,27222,[ENG],Freeze!
28226,28713,[ENG],Hands over your head! Now!
30148,30844,[ENG],Toss your gun overboard! Slowly.
32935,33199,[ENG],A woman...?
33227,33547,[ENG],Show your face.
33743,34328,[ENG],You men -- you're all the same.
34384,34634,[ENG],Who are you?
36042,36877,[ENG],We are nomads. Wanderers.
37908,38339,[ENG],I said don't move!
38647,39371,[ENG],Americans... so you shoot women too?
39399,39816,[ENG],I'm a nomad too.
40528,40945,[ENG],What else do you have there?
1058,1573,[GER],Shalashaska ist gelandet.
1588,2145,[GER],Ich komme zu den Frachträumen|des Tankers zurück.
2145,2507,[GER],"Deinen Lagebericht, bitte!"
2591,3649,[GER],"Kontrollraum, Kommunikations- und|Maschinenraum unter Kontrolle."
3650,4541,[GER],Alle Ein- und Ausgänge zu den|Frachträumen sind gesichert.
4555,5181,[GER],Infrarotsender plaziert|und einsatzbereit.
5461,6241,[GER],Gute Arbeit. Sind die|Sprengladungen angebracht?
6910,7341,[GER],"Ja, sie sind alle gelegt."
7439,8442,[GER],"Sobald wir haben, was wir wollen,|wird der Tanker versenkt."
8470,8887,[GER],Und der Pilot des Gefährts?
8916,10211,[GER],"Er ist der Einzige, der das VR-Training|absolviert hat. Kein anderer kann es."
10240,10755,[GER],Kannst Du ihm wirklich trauen?
11075,11980,[GER],Du hast Deine Pflicht getan. Du mußt|das Schiff sofort verlassen.
12023,12552,[GER],"Nein, ist noch nicht vorbei!"
12580,13304,[GER],"Ich kann den Mond sehen,|sogar bei diesem Sturm."
13318,14279,[GER],Blaß wie der Tod. Ich habe ein|ungutes Gefühl bei dieser Mission.
14419,14781,[GER],Du hast es mir geschworen.
14781,15658,[GER],"Daß Du die Einheit verläßt,|sobald die Mission erfüllt ist."
15784,16369,[GER],"Keine Sorge. Dieses Land|garantiert ""Freiheit""."
16370,17693,[GER],"Nein! Ich gehöre zur Einheit. Ich weiß|nicht, wohin ich sonst sollte."
18320,18933,[GER],"Vater, ich möchte hierbleiben|und kämpfen."
18947,19504,[GER],"Du hast keine andere Wahl, Olga!"
19658,20507,[GER],"Darf ich darauf hinweisen, daß|Du meinen Enkel erwartest?"
20828,20995,[GER],
21051,21886,[GER],Du wirst sofort mit dem Hubschrauber|mitfliegen!
22792,23014,[GER],Verdammt!
26986,27250,[GER],Keine Bewegung!
28212,28769,[GER],Hände über den Kopf! Sofort!
30134,30886,[GER],Wirf die Kanone über Bord! Langsam.
32935,33199,[GER],Eine Frau?
33227,33547,[GER],Zeig' Dein Gesicht.
33743,34328,[GER],"Ihr Männer, Ihr seid alle gleich."
34384,34634,[GER],Wer bist Du?
36042,36877,[GER],Wir sind Nomaden. Zugvögel.
37908,38339,[GER],"Ich sagte, nicht bewegen!"
1058,1573,[FRE],...Shalashaska a atterri.
1602,2479,[FRE],Je me dirige vers les cales du tanker. |Rapport demandé.
2549,3412,[FRE],"Nous avons pris le contrôle des salles |des commandes, des communications"
3413,3663,[FRE],et des moteurs.
3678,4513,[FRE],Tous les points d'entrée et de sortie |des cales sont protégés.
4555,5181,[FRE],Les capteurs à infrarouge|sont opérationnels.
5461,6241,[FRE],Bon travail. Est-ce que les explosifs|sont en place ?
6910,7341,[FRE],"Oui, ils sont tous posés."
7342,8261,[FRE],"Ecoute-moi bien. Une fois qu'on aura|ce qu'on est venu chercher,"
8261,8497,[FRE],on sabordera le tanker.
8498,8888,[FRE],Et le pilote du véhicule ?
8916,10211,[FRE],Le seul à avoir suivi une formation |en RV. Personne ne peut le remplacer !
10240,10755,[FRE],Tu es sûr qu'on peut lui faire|confiance ?
11075,11980,[FRE],Tu as rempli ta mission. Tu dois partir.
12023,12552,[FRE],"Non, la mission n'est pas finie !"
12580,13304,[FRE],"Je vois la lune, malgré cet orage."
13318,14279,[FRE],"Elle a la pâleur de la mort.|Je la sens mal, cette mission..."
14419,14781,[FRE],Tu as juré !
14781,15658,[FRE],Tu as juré que tu quitterais l'unité|dès que tu aurais rempli ta mission !
15784,16369,[FRE],"Ne t'inquiète pas. Nous sommes|au pays du ""libre arbitre""."
16370,17164,[FRE],Non ! Ma place est avec l'unité !
17178,17818,[FRE],Je n'ai pas d'autre endroit où aller.|
18320,18933,[FRE],"Père, je veux rester et combattre !"
18947,19504,[FRE],"Tu n'as rien à faire ici, Olga !"
19658,20507,[FRE],Puis-je simplement te rappeler|que tu portes mon petit-fils ?
20828,20995,[FRE],...
21051,21886,[FRE],Tu vas monter dans l'hélicoptère|et filer d'ici tout de suite !
22792,23014,[FRE],Mince !
27000,27222,[FRE],Reste où tu es !
28226,28713,[FRE],Les mains derrière la tête ! |Et que ça saute !
30148,30844,[FRE],Jette ton flingue par-dessus bord. |Lentement !
32935,33199,[FRE],Une femme ?
33227,33547,[FRE],Montre-moi ton visage !
33743,34328,[FRE],"Vous, les hommes,|vous êtes tous les mêmes !"
34384,34634,[FRE],Qui es-tu ?
1058,1573,[ITA],...Shalashaska è atterrato.
1602,2479,[ITA],Sto dirigendomi alla stiva del tanker...|Comunica la tua posizione.
2591,3649,[ITA],"Sala dei controlli, delle comunicazioni e|sala motori sono tutte sotto controllo."
3664,4541,[ITA],Tutti i punti di ingresso e uscita della|stiva del tanker sono bloccati.
4555,5181,[ITA],Sensori agli infrarossi posizionati|e in funzione.
5461,6241,[ITA],Ottimo. E gli esplosivi sono a posto?
6910,7341,[ITA],"Sì, tutti in posizione."
7439,8442,[ITA],"Ascolta. Quando abbiamo quello per cui |siamo venuti, affonderemo il tanker."
8470,8887,[ITA],Insieme al pilota del veicolo.
8916,10211,[ITA],Ma è il solo ad essere addestrato nelle|tecniche RV. Nessun altro potrebbe farlo.
10240,10755,[ITA],Sei sicuro di poterti fidare di lui?
11075,11980,[ITA],Il tuo compito nella missione è|terminato. Lascia subito la nave.
12023,12552,[ITA],"No, non è ancora finito!"
12580,13304,[ITA],Riesco a vedere la luna...|persino con questa tempesta.
13318,14279,[ITA],Pallida come la morte. Ho un brutto|presentimento per questa missione...
14419,14781,[ITA],Me l'hai giurato.
14781,15658,[ITA],Mi hai promesso di lasciare l'unità non|appena la missione fosse conclusa.
15784,16369,[ITA],"Non ti preoccupare. Questo è|un paese di ""libertà""."
16370,17164,[ITA],"No! È questo il mio posto, con l'unità."
17178,17818,[ITA],Non ho altro posto dove andare.
