Start Time,End Time,Lang ID,Text
905,1754,[JPN],大統領は…死んだ
1852,2088,[JPN],そんな…
2744,3412,[JPN],このウィルスを作ったのは本当に君なのか？
3469,4597,[JPN],ええ…ウィルスというより|ワーム・クラス夕ーだけど
4653,6770,[JPN],『G.W』の大脳部分に侵入して神経接続を|無意味化する遅効性の自律行動プログラム…
919,1211,[ENG],The President...
1407,1727,[ENG],...he's dead.
1825,2033,[ENG],What...?
2744,3370,[ENG],You actually wrote this virus?
3469,3970,[ENG],It's not really a virus... 
4068,4555,[ENG],it's more like a worm cluster.
4681,5586,[ENG],It's actually a delayed-effect |autonomous program that's designed
5586,6770,[ENG],to invade GW's cerebrum and render|its nerve connections useless.
6826,7216,[ENG],You know what GW is?
7244,7926,[ENG],Of course... I created it.
8219,8372,[ENG],...
8526,8874,[ENG],You look surprised.
9027,9277,[ENG],Uh... Well...
9362,9724,[ENG],Cat got your tongue?
9835,10266,[ENG],"I'm sorry, I..."
10755,11354,[ENG],"How about the ""Patriots""?|Ever heard of 'em?"
11493,12370,[ENG],Yes. But I only know|what I've been told.
12803,13262,[ENG],Can you tell me what you know?
13639,14029,[ENG],"Uh, sure."
14071,14600,[ENG],But it's hard to put into words.
14907,15157,[ENG],Right...
919,1211,[GER],Der Präsident
1407,1727,[GER],ist tot.
1825,2033,[GER],Was?
2744,3370,[GER],Hast Du diesen Virus wirklich|geschrieben?
3469,3970,[GER],Es ist eigentlich kein Virus
4068,4555,[GER],eher ein Wurm-Cluster.
4681,5586,[GER],"Genauer gesagt, ist es ein autonomes|Programm mit verzögertem Effekt."
5586,6770,[GER],Es soll in das Gehirn von GW eindringen|und seine Nervenverbindungen lähmen.
6826,7216,[GER],Du hast von GW gehört?
7244,7926,[GER],Natürlich. Ich habe es geschaffen.
8219,8372,[GER],
8526,8874,[GER],Du siehst so überrascht aus.
9027,9277,[GER],"Äh, Nun."
9362,9724,[GER],Hat's Dir die Stimme verschlagen?
9835,10266,[GER],"Tut mir leid, ich."
10755,11354,[GER],"Was ist mit den ""Patriots""?|Kennst Du die auch?"
11493,12370,[GER],"Ja. Aber ich weiß nur, was man mir|über sie erzählt hat."
12803,13262,[GER],"Und kannst Du mir sagen, was Du weißt?"
13639,14029,[GER],"Äh, sicher."
14071,14600,[GER],Aber es läßt sich nicht so leicht|in Worte fassen.
14907,15157,[GER],Okay.
919,1211,[FRE],Le Président...
1407,1727,[FRE],..il est mort.
1825,2033,[FRE],Quoi ?
2744,3370,[FRE],C'est vraiment toi qui as écrit ce virus ?
3469,3970,[FRE],Ce n'est pas vraiment un virus...
4068,4555,[FRE],C'est plutôt une colonie de vers.
4625,5544,[FRE],"En fait, il s'agit d'un programme |autonome qui fonctionne en différé."
5544,6379,[FRE],Il est conçu pour envahir le cerveau|du système GW et atrophier
6380,6770,[FRE],toutes ses liaisons nerveuses.
6826,7216,[FRE],"Tu connais, le système GW ?"
7244,7926,[FRE],Evidemment ! C'est moi qui l'ai créé !
8219,8372,[FRE],...
8526,8874,[FRE],Tu as l'air étonné...
9027,9277,[FRE],Ben... Heu...
9362,9724,[FRE],Tu as perdu ta langue ?
9835,10266,[FRE],"Désolé, je..."
10755,11354,[FRE],"Et les ""Patriotes"" ?|En as-tu entendu parler ?"
11493,12370,[FRE],"Oui, mais hormis ce qu'on m'en a dit,|je ne sais pas grand chose..."
12803,13262,[FRE],Est-ce que ça t'ennuierait|de me dire ce que tu sais sur eux ?
13639,14029,[FRE],"Non,"
14071,14600,[FRE],mais je ne sais pas par quel bout |commencer !
14907,15157,[FRE],Bon...
919,1211,[ITA],Il Presidente...
1407,1727,[ITA],è morto.
1825,2033,[ITA],Cosa...?
2744,3370,[ITA],Sei stata proprio tu a scrivere|questo virus?
3469,3970,[ITA],Non si tratta proprio di un virus...
4068,4555,[ITA],è più un gruppo di vermi.
4681,5586,[ITA],"In effetti è un programma autonomo|ad effetto ritardato,"
5586,6770,[ITA],studiato per invadere il cervello del GW|e disabilitare le sue sinapsi.
6826,7216,[ITA],Allora sai cos'è il GW?
7244,7926,[ITA],Certo... l'ho creato io.
8219,8372,[ITA],...
8526,8874,[ITA],Sembri sorpreso.
9027,9277,[ITA],Beh... Ecco...
9362,9724,[ITA],Hai perso la lingua?
9835,10266,[ITA],"Scusa, io..."
10755,11354,[ITA],"E dei ""Patriots"", ne hai mai|sentito parlare?"
