Start Time,End Time,Lang ID,Text
69,946,[GER],"Wir dürfen das Programm nicht zu|einem Zeitpunkt gefährden,"
947,1434,[GER],zu dem es fast vollendet ist.
1462,2339,[GER],Der getarnte Öltanker gehört|zu unserer Deckung.
2368,3287,[GER],RAY ist all diese Vorsichtsmaßnahmen|wert.
3371,3663,[GER],Vertraut mir.
125,738,[ENG],We cannot risk jeopar-|dizing the program
738,1309,[ENG],on the eve of|its completion.
1462,2311,[ENG],The disguised oil tanker |is a part of our cover.
2368,3217,[ENG],RAY is well worth all |these precautions.
3371,3663,[ENG],Trust me.
125,738,[FRE],Nous ne prendrons pas le risque|de faire capoter le programme
738,1309,[FRE],à la veille de son aboutissement.
1462,2311,[FRE],Ce faux tanker participe|à notre couverture.
2368,3217,[FRE],"Après tout, le RAY vaut bien |toutes ces précautions."
3343,3677,[FRE],Aie confiance en moi.|
125,738,[ITA],Non possiamo rischiare di mettere a |repentaglio il programma 
738,1309,[ITA],proprio alla vigilia della |sua conclusione.
1462,2311,[ITA],Il finto tanker fa parte della|nostra copertura.
2368,3217,[ITA],L'importanza del RAY giustifica appieno |tutte queste precauzioni.
3371,3663,[ITA],Credetemi.
125,738,[SPA],No podemos correr el riesgo |de poner en peligro este 
738,1309,[SPA],programa cuando queda tan |poco para que finalice. 
1462,2311,[SPA],El supuesto tanque de crudo |es parte de nuestro plan. 
2368,3217,[SPA],Recordad que todas las |precauciones son pocas. 
3371,3663,[SPA],"Creedme, sé de lo que hablo. "
125,1406,[JPN],#{RAY、レイ}#の開発が完成前に中止されることが|あってはならないのだ
1462,2353,[JPN],そのためにこの偽装夕ンカーを|使用している
2382,3663,[JPN],#{RAY、レイ}#にはそれだけの|価値があるのだ
