Start Time,End Time,Lang ID,Text
473,1239,[JPN],お前に弾が当たらないのは…
1462,2520,[JPN],魔術でも気功でも ましてや#－
2591,3357,[JPN],超能力でもない
3413,4262,[JPN],全ては『愛国者達』による演出
487,1211,[ENG],Do you know why |no bullet could hit you?
1476,2520,[ENG],It wasn't magic or some|New Age mumbo-jumbo.
2591,3315,[ENG],Certainly wasn't your psychic talents.
3455,4109,[ENG],It was all staged by the Patriots.
4346,4680,[ENG],Staged?
5586,6686,[ENG],You were being shielded by the |electromagnetic weapons technology
6687,7188,[ENG],that the Patriots developed.
8122,9041,[ENG],Your Dead Cell comrades loved|your father and husband --
9640,10475,[ENG],we needed a pathetic wretch like you
10546,11089,[ENG],to keep them focused.
11521,12565,[ENG],You've been our puppet all along -- |just like Olga.
13082,13290,[ENG],No!
13736,14641,[ENG],You were hamming it up|as the tragic heroine
14712,15645,[ENG],thanks to the script that|the Patriots wrote for you.
16147,16718,[ENG],Pure self-indulgence --
16774,17442,[ENG],"absorbed in your own ""misfortune,"""
17512,18013,[ENG],you couldn't get enough of the drama.
18501,19267,[ENG],...I could have died whenever |I wanted to...
487,1211,[GER],"Weißt Du, warum Dich keine Kugel|treffen konnte?"
1476,2520,[GER],Das war weder Zauberei noch|irgendwelcher New Age-Humbug.
2591,3315,[GER],Und ganz bestimmt nicht Deine|übernatürlichen Fähigkeiten.
3455,4109,[GER],Es war alles von den Patriots inszeniert.
4346,4680,[GER],Inszeniert?
5586,6686,[GER],"Du wurdest von der elektromagnetischen|Waffentechnologie,"
6687,7188,[GER],"die die Patriots entwickelt haben,|geschützt."
8122,9041,[GER],Deine Dead Cell-Kameraden |liebten Deinen Vater und Ehemann --
9640,10475,[GER],"wir brauchten eine erbärmliche Kreatur|wie Dich,"
10546,11089,[GER],um sie bei der Stange zu halten.
11521,12565,[GER],Du warst stets nur unsere Marionette --|genau wie Olga.
13082,13290,[GER],Nein!
13736,14641,[GER],Du hast Dich ganz in die Rolle der|tragischen Heldin versetzt.
14712,15645,[GER],"Auch das entspricht dem Skript, das die|Patriots für Dich geschrieben haben."
16147,16718,[GER],Du hast Dich einfach gehenlassen --
