Start Time,End Time,Lang ID,Text
13,1308,[GER],"Verstärkungseinheit, sichert den|Backbordeingang zum Maschinenraum!"
1309,1796,[GER],Laßt ihn nicht entwischen!
13,612,[FRE],"Membres de l'unité|de renfort,"
626,1768,[FRE],protégez l'entrée bâbord|de la salle des moteurs.
27,333,[ENG],Understood.
376,1323,[ENG],"Backup unit, secure the port|entrance to the engine room. "
1323,1740,[ENG],Don't let him get away!
27,333,[SPA],Entendido.
376,1323,[SPA],"Unidad de apoyo, proteja la entrada |de babor hacia la sala de máquinas."
1323,1740,[SPA],¡No dejéis que se escape!
27,1322,[JPN],了解 増援部隊|機関室左舷入口を固めろ
41,1726,[ITA],"Unità di rinforzo, proteggete l'entrata |sinistra della sala motori."
1337,1782,[JPN],敵を逃がすな!
