Start Time,End Time,Lang ID,Text
13,361,[ENG],Understood.
390,1016,[ENG],Sending reinforcements |to the entryways
1030,1503,[ENG],to Decks A and B.
1546,1796,[ENG],Watch your back.
13,1503,[GER],Schicke Unterstützung zu den |Eingängen zu Decks A und B!
1518,1838,[GER],Seid vorsichtig!
13,1824,[FRE],J'envoie des renforts aux entrées|donnant sur les Ponts A et B.
13,361,[SPA],Entendido.
390,1490,[SPA],Se envían refuerzos a las entradas |que conducen a las Cubiertas A y B.
1546,1796,[SPA],Cuidado.
27,1503,[JPN],了解 船橋ニ階|一階への入口を増員する
1532,1810,[JPN],油断するな
41,1768,[ITA],Sto inviando rinforzi alle entrate |dei Ponti A e B.
