Start Time,End Time,Lang ID,Text
13,890,[GER],Verstärkung ist auf dem|Weg zum Eingang zu Strebe C
891,1406,[GER],auf der CD-Verbindungsbrücke. 
1421,1936,[GER],Seid äußerst vorsichtig.
13,834,[FRE],"Les renforts se dirigent|vers l'entrée de l'Etai C, "
835,1378,[FRE],sur la passerelle|de connexion C-D. 
1393,1908,[FRE],Faites preuve de la plus |grande prudence ! 
13,249,[JPN],了解#ー
278,1921,[JPN],CD連絡橋・C脚入口に増員|警戒を強化しろ
27,222,[ENG],Understood. 
278,918,[ENG],Reinforcements are on their|way to the Strut C entrance 
919,1364,[ENG],on the CD|connecting bridge. 
1393,1908,[ENG],Exercise extreme caution.
27,904,[SPA],"Pronto llegarán los refuerzos |a la entrada del Soporte C, "
919,1880,[SPA],en el puente de conexión |entre los Soportes C y D.
41,1364,[ITA],Ora arrivano rinforzi all'ingresso del |Supporto C sul ponte di collegamento CD.
1393,1908,[ITA],Fate estrema attenzione.
